ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
1210,4,Mittelschulen,"Mittelschule Sielenbach, Josef-Veit-Straße 4, 86577 Sielenbach, Deutschland",4,Josef-Veit-Straße,86577,Schafhausen,16. Juli 2023
1211,3,Realschulen,"Gartenstraße 3, 86405 Meitingen, Deutschland",3,Gartenstraße,86405,Meitingen,16. Juli 2023
1212,,Realschulen,"Willi-Ohlendorf-Weg 3, 86399 Bobingen, Deutschland",,Willi-Ohlendorf-Weg,86399,Bobingen,16. Juli 2023
1213,,Realschulen,"Via-Claudia-Realschule Königsbrunn, Schwabenstraße 35, 86343 Königsbrunn, Deutschland",,"Via-Claudia-Realschule Königsbrunn, Schwabenstraße 35, 86343 Königsbrunn, Deutschland",,,16. Juli 2023
1214,,Realschulen,"Landrat-Doktor-Frey-Straße 8, 86356 Neusäß, Deutschland",,"Landrat-Doktor-Frey-Straße 8, 86356 Neusäß, Deutschland",,,16. Juli 2023
1215,,Realschulen,"Staatliche Realschule Zusmarshausen, Stadionstraße 4, 86441 Zusmarshausen, Deutschland",,"Staatliche Realschule Zusmarshausen, Stadionstraße 4, 86441 Zusmarshausen, Deutschland",,,16. Juli 2023
1216,36,Realschulen,"Auf dem Kreuz 36, 86152 Augsburg, Deutschland",36,Auf dem Kreuz,86152,Augsburg,16. Juli 2023
1217,20,Realschulen,"Bertolt-Brecht-Realschule, Völkstraße 20, 86150 Augsburg, Deutschland",20,Völkstraße,86150,Augsburg,16. Juli 2023
1218,5,Realschulen,"Eschenhofstraße 5, 86154 Augsburg, Deutschland",5,Eschenhofstraße,86154,Augsburg,16. Juli 2023
1219,,Realschulen,"Maria Stern Realschule Augsburg, Gögginger Straße 132, 86199 Augsburg, Deutschland",,"Maria Stern Realschule Augsburg, Gögginger Straße 132, 86199 Augsburg, Deutschland",,,16. Juli 2023
1220,,Realschulen,"A.B. von Stettensches Institut Augbsburg Gymnasium und Realschule für Mädchen, Am Katzenstadel 18A, 86152 Augsburg, Deutschland",,"A.B. von Stettensches Institut Augbsburg Gymnasium und Realschule für Mädchen, Am Katzenstadel 18A, 86152 Augsburg, Deutschland",,,16. Juli 2023
1221,,Realschulen,"Maria-Ward-Realschule Augsburg, Frauentorstraße 26, 86152 Augsburg, Deutschland",,"Maria-Ward-Realschule Augsburg, Frauentorstraße 26, 86152 Augsburg, Deutschland",,,16. Juli 2023
1222,,Realschulen,"Mädchenrealschule St. Ursula Augsburg, Bei Sankt Ursula 2, 86150 Augsburg, Deutschland",,"Mädchenrealschule St. Ursula Augsburg, Bei Sankt Ursula 2, 86150 Augsburg, Deutschland",,,16. Juli 2023
1223,59,Realschulen,"Sommestraße 59, 86156 Augsburg, Deutschland",59,Sommestraße,86156,Augsburg,16. Juli 2023
1224,2,Realschulen,"Jahnstraße 2, 86551 Aichach, Deutschland",2,Jahnstraße,86551,Aichach,17. Juli 2023
1225,4,Realschulen,"Rothenbergstraße 4, 86316 Friedberg, Deutschland",4,Rothenbergstraße,86316,Friedberg,17. Juli 2023
1226,38,Realschulen,"Staatliche Realschule Mering, Tratteilstraße 38, 86415 Mering, Deutschland",38,Tratteilstraße,86415,Mering,17. Juli 2023
1227,,Gymnasien,"Landrat-Doktor-Frey-Straße 2, 86356 Neusäß, Deutschland",,"Landrat-Doktor-Frey-Straße 2, 86356 Neusäß, Deutschland",,,17. Juli 2023
1228,,Gymnasien,"Gymnasium Königsbrunn, Alter Postweg 3, 86343 Königsbrunn, Deutschland",,"Gymnasium Königsbrunn, Alter Postweg 3, 86343 Königsbrunn, Deutschland",,,17. Juli 2023
1229,,Gymnasien,"Leonhard-Wagner-Mittelschule Schwabmünchen, Breitweg 16A, 86830 Schwabmünchen, Deutschland",,"Leonhard-Wagner-Mittelschule Schwabmünchen, Breitweg 16A, 86830 Schwabmünchen, Deutschland",,,17. Juli 2023
1230,1,Gymnasien,"Schmetterlingsplatz 1, 86420 Diedorf, Deutschland",1,Schmetterlingsplatz,86420,Diedorf,17. Juli 2023
1231,,Gymnasien,"Rudolf-Diesel-Gymnasium Augsburg, Peterhofstraße 9, 86163 Augsburg, Deutschland",,"Rudolf-Diesel-Gymnasium Augsburg, Peterhofstraße 9, 86163 Augsburg, Deutschland",,,17. Juli 2023
1232,,Gymnasien,"Jakob-Fugger-Gymnasium Augsburg, Kriemhildenstraße 5, 86152 Augsburg, Deutschland",,"Jakob-Fugger-Gymnasium Augsburg, Kriemhildenstraße 5, 86152 Augsburg, Deutschland",,,17. Juli 2023
1233,58,Gymnasien,"Ludwigstraße 58, 86551 Aichach, Deutschland",58,Ludwigstraße,86551,Aichach,20. Juli 2023
1234,,Gymnasien,"Staatliches Gymnasium Friedberg, Rothenbergstraße 3, 86316 Friedberg, Deutschland",,"Staatliches Gymnasium Friedberg, Rothenbergstraße 3, 86316 Friedberg, Deutschland",,,20. Juli 2023
1235,34,Gymnasien,"Gymnasium mering, Tratteilstraße 34, 86415 Mering, Deutschland",34,Tratteilstraße,86415,Mering,20. Juli 2023
1236,10,Gymnasien,"Holbein-Gymnasium, Hallstraße 10, 86150 Augsburg, Deutschland",10,Hallstraße,86150,Augsburg,21. Juli 2023
1237,,Gymnasien,"Maria-Theresia-Gymnasium Augsburg, Gutenbergstraße 1, 86150 Augsburg, Deutschland",,"Maria-Theresia-Gymnasium Augsburg, Gutenbergstraße 1, 86150 Augsburg, Deutschland",,,21. Juli 2023
1238,,Gymnasien,"Schertlinstraße 5-7, 86159 Augsburg, Deutschland",,Schertlinstraße,86159,Augsburg,21. Juli 2023
1239,2,Gymnasien,"Gymnasium bei St. Stephan, Gallusplatz 2, 86152 Augsburg, Deutschland",2,Gallusplatz,86152,Augsburg,21. Juli 2023
1240,,Gymnasien,"Gymnasium Maria Stern Augsburg, Gögginger Straße 132, 86199 Augsburg, Deutschland",,"Gymnasium Maria Stern Augsburg, Gögginger Straße 132, 86199 Augsburg, Deutschland",,,21. Juli 2023
1241,,Gymnasien,"A.B. von Stettensches Institut Augsburg Gymnasium und Realschule für Mädchen, Am Katzenstadel 18A, 86152 Augsburg, Deutschland",,"A.B. von Stettensches Institut Augsburg Gymnasium und Realschule für Mädchen, Am Katzenstadel 18A, 86152 Augsburg, Deutschland",,,21. Juli 2023
1242,,Gymnasien,"Maria-Ward-Gymnasium Augsburg, Frauentorstraße 26, 86152 Augsburg, Deutschland",,"Maria-Ward-Gymnasium Augsburg, Frauentorstraße 26, 86152 Augsburg, Deutschland",,,21. Juli 2023
1244,52,Förderschulen,"Maximilianstraße 52, 86150 Augsburg, Deutschland",52,Maximilianstraße,86150,Augsburg,24. Juli 2023
1245,5,Förderschulen,"Von-Cobres-Straße 5, 86199 Augsburg, Deutschland",5,Von-Cobres-Straße,86199,Augsburg,24. Juli 2023
1246,12,Förderschulen,"Pestalozzistraße 12, 86154 Augsburg, Deutschland",12,Pestalozzistraße,86154,Augsburg,24. Juli 2023
1247,69a,Förderschulen,"Kurt-Schumacher-Straße 69a, 86165 Augsburg, Deutschland",69a,Kurt-Schumacher-Straße,86165,Augsburg,24. Juli 2023
1248,,Förderschulen,"Förderzentrum Augsburg - Förderschwerpunkt Hören, Sommestraße 70, 86156 Augsburg, Deutschland",,"Förderzentrum Augsburg - Förderschwerpunkt Hören, Sommestraße 70, 86156 Augsburg, Deutschland",,,24. Juli 2023
1249,,Förderschulen,"Simpert-Schule, Hermann-Kluftinger-Straße 14, 86153 Augsburg, Deutschland",,"Simpert-Schule, Hermann-Kluftinger-Straße 14, 86153 Augsburg, Deutschland",,,25. Juli 2023
1250,22,Förderschulen,"Prälat-Bigelmair-Straße 22, 86154 Augsburg, Deutschland",22,Prälat-Bigelmair-Straße,86154,Augsburg,25. Juli 2023
1251,26,Förderschulen,"Schäfflerbachstraße 26, 86153 Augsburg, Deutschland",26,Schäfflerbachstraße,86153,Augsburg,25. Juli 2023
1252,16b,Förderschulen,"Aichacher Str. 16b, 86316 Friedberg, Deutschland",16b,Aichacher Straße,86316,Friedberg,25. Juli 2023
1253,12,Förderschulen,"Karwendelstraße 12, 86343 Königsbrunn, Deutschland",12,Karwendelstraße,86343,Königsbrunn,25. Juli 2023
1254,7,Förderschulen,"Theresienstraße 7, 86368 Gersthofen, Deutschland",7,Theresienstraße,86368,Gersthofen,25. Juli 2023
1255,4,Förderschulen,"Karwendelstraße 4, 86343 Königsbrunn, Deutschland",4,Karwendelstraße,86343,Königsbrunn,25. Juli 2023
1256,,Förderschulen,"Lebenshilfe für Menschen mit Behinderung Kreisvereinigung Aichach-Friedberg e.V., St.-Elisabeth-Straße 1, 86551 Aichach, Deutschland",,"Lebenshilfe für Menschen mit Behinderung Kreisvereinigung Aichach-Friedberg e.V., St.-Elisabeth-Straße 1, 86551 Aichach, Deutschland",,,25. Juli 2023
1257,29,Förderschulen,"Schulstraße 29, 86551 Aichach, Deutschland",29,Schulstraße,86551,Aichach,25. Juli 2023
1425,6,Weitere Schulen,"Dr.-Franz-Grabowski-Straße 6, 86424 Dinkelscherben, Deutschland",6,Dr.-Franz-Grabowski-Straße,86424,Dinkelscherben,4. Dezember 2023
