ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
1056,21,Grundschulen,"König-Otto I.-VS Königsbrunn-Nord, Lerchenstraße 21, 86343 Königsbrunn, Deutschland",21,Lerchenstraße,86343,Königsbrunn,26. Juni 2023
1066,40,Grundschulen,"Fuggerstraße 40, 86343 Königsbrunn, Deutschland",40,Fuggerstraße,86343,Königsbrunn,27. Juni 2023
1067,,Grundschulen,"Grundschule Königsbrunn West, Kemptener Straße 101, 86343 Königsbrunn, Deutschland",,"Grundschule Königsbrunn West, Kemptener Straße 101, 86343 Königsbrunn, Deutschland",,,27. Juni 2023
1068,11,Grundschulen,"Grundschule Kutzenhausen, Schulstraße 11, 86500 Kutzenhausen, Deutschland",11,Schulstraße,86500,Buch,27. Juni 2023
1069,33,Grundschulen,"Grundschule Langerringen, Viktor-von-Scheffel-Straße 33, 86853 Langerringen, Deutschland",33,Viktor-von-Scheffel-Straße,86853,Westerringen,27. Juni 2023
1071,9,Grundschulen,"Stadtberger Straße 9, 86391 Stadtbergen, Deutschland",9,Stadtberger Straße,86391,Stadtbergen,29. Juni 2023
1072,4,Grundschulen,"Grundschule Meitingen, Schulweg 4, 86405 Meitingen, Deutschland",4,Schulweg,86405,Meitingen,29. Juni 2023
1073,51,Grundschulen,"Am Eichenwald 51, 86356 Neusäß, Deutschland",51,Am Eichenwald,86356,Neusäß,29. Juni 2023
1074,51,Mittelschulen,"Am Eichenwald 51, 86356 Neusäß, Deutschland",51,Am Eichenwald,86356,Neusäß,29. Juni 2023
1075,8,Grundschulen,"Bürgermeister-Kaifer-Straße 8, 86356 Neusäß, Deutschland",8,Bürgermeister-Kaifer-Straße,86356,Neusäß,29. Juni 2023
1076,,Grundschulen,"Grundschule Nordendorf, Schäfflerstraße 25, 86695 Nordendorf, Deutschland",,"Grundschule Nordendorf, Schäfflerstraße 25, 86695 Nordendorf, Deutschland",,,29. Juni 2023
1077,16,Grundschulen,"Museumstraße 16, Schwabmünchen, Deutschland",16,Museumstraße,86830,Schwabmünchen,29. Juni 2023
1078,7,Grundschulen,"Parkschule Stadtbergen, Sonnenstraße 7, 86391 Stadtbergen, Deutschland",7,Sonnenstraße,86391,Stadtbergen,29. Juni 2023
1079,7,Mittelschulen,"Parkschule Stadtbergen, Sonnenstraße 7, 86391 Stadtbergen, Deutschland",7,Sonnenstraße,86391,Stadtbergen,29. Juni 2023
